controle;categoria;tipo;calibre;marca;quantidade;origem
05000941-2018;1;revólver;.32;caramuru;1;1
07457661-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;2
12482591-2018;1;revólver;.32;indeterminado;1;1
26033061-2018;1;garrucha;.320;rossi;1;1
35291951-2018;1;pistola;9 mm luger (9x19mm);taurus;1;1
38306671-2018;1;revólver;.38 special (9 x 29,5 mm);rossi;1;2
44219501-2018;1;pistola;9 mm parabellum (9x19mm);sig-sauer;1;1
48629211-2018;1;revólver;.38;rossi;1;2
74502551-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;2
88974791-2018;1;pistola;.40 s&w;glock;1;1
88974791-2018;1;pistola;.45 auto;colt;1;1
95355111-2018;1;revólver;.32 s&w long;taurus;1;2
00788311-2018;1;revólver;38 spl;taurus;1;2
25346261-2018;1;espingarda;.22;indeterminado;1;1
44391441-2018;1;revólver;.38;taurus;1;2
51832041-2018;1;espingarda;28;rossi;1;1
52645761-2018;1;pistola;9 mm luger (9x19mm);s&w;1;1
54040641-2018;1;revólver;.38 spl;taurus;1;2
67705021-2018;1;fuzil;.223 remington (5,56x45 mm);bushmaster;1;1
86754811-2018;1;revólver;.38 spl;taurus;1;2
88277481-2018;1;revólver;.38;taurus;1;2
89018041-2018;1;pistola;.40;glock;1;1
89018041-2018;1;pistola;.40;glock;1;1
95906491-2018;1;revólver;.32;taurus;1;2
04819331-2018;1;revólver;.32 s&w long;ina;1;1
05746081-2018;1;pistola;.45 auto;imbel;1;2
11021081-2018;1;fuzil;.308 winchester (7,62x51 mm);hk;1;1
11021081-2018;1;fuzil;7,62 mm kalashnikov (7,62x39);s.n. romarm;1;1
11021081-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
13786551-2018;1;revólver;.32 s&w long;não identificada;1;1
15417881-2018;1;revólver;.38;taurus;1;2
21294311-2018;1;espingarda;indeterminado;indeterminado;1;1
26762631-2018;1;pistola;9 mm;canik;1;1
26762631-2018;1;pistola;.40 s&w;taurus;1;2
32440801-2018;1;revólver;.357 magnum;colt;1;1
39337621-2018;1;revólver;.32;taurus;1;1
40952121-2018;1;pistola;9 mm;taurus;1;2
41606811-2018;1;pistola;9 mm luger (9x19mm);hk;1;1
