"controle";"categoria";"tipo";"calibre";"marca";"quantidade";"origem"
"05000941-2019";1;"revólver";".38 spl";"taurus";1;2
"12482591-2019";1;"espingarda";"12";"cbc";1;2
"12482591-2019";1;"espingarda";"20";"indeterminado";1;1
"12482591-2019";1;"garrucha";"indeterminado";"indeterminado";1;1
"26033061-2019";1;"pistola";".40";"taurus";1;2
"38306671-2019";1;"pistola";".40";"glock";1;1
"48629211-2019";1;"revólver";".38";"taurus";1;2
"74502551-2019";1;"pistola";".40 s&w (10 x 22)";"bersa";1;1
"88974791-2019";1;"pistola";".40";"cz";1;1
"95355111-2019";1;"revólver";".32";"taurus";1;2
"95355111-2019";1;"revólver";".38 special (9 x 29,5 mm)";"rossi";1;2
"00788311-2019";1;"pistola";"9 mm luger (9x19mm)";"sarsilmaz";1;1
"07457661-2019";1;"revólver";".38 spl";"rossi";1;2
"25346261-2019";1;"espingarda";"12";"indeterminado";1;1
"35291951-2019";1;"revólver";".38";"taurus";1;2
"44219501-2019";1;"arma de fabricação caseira";"28";"não identificada";1;1
"44219501-2019";1;"arma de fabricação caseira";"28";"não identificada";1;1
"44219501-2019";1;"arma de fabricação caseira";"28";"não identificada";1;1
"44219501-2019";1;"arma de fabricação caseira";"28";"não identificada";1;1
"44391441-2019";1;"revólver";".38 spl";"taurus";1;2
"51832041-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;1
"52645761-2019";1;"pistola";"6 mm flobert";"indeterminado";1;1
"54040641-2019";1;"revólver";".38 spl";"cbc";1;2
"67705021-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"86754811-2019";1;"pistola";".40 s&w (10 x 22)";"taurus";1;2
"89018041-2019";1;"revólver";".22 short";"não identificada";1;1
"04819331-2019";1;"espingarda";".22 lr";"cbc";1;2
"05746081-2019";1;"espingarda";".32";"não identificada";1;1
"11021081-2019";1;"carabina";".38";"indeterminado";1;2
"11021081-2019";1;"pistola";".380";"taurus";1;2
"13786551-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;1
"15417881-2019";1;"pistola";".40 auto";"glock";1;1
"21294311-2019";1;"revólver";".38 spl";"rossi";1;2
"32440801-2019";1;"pistola";"9 mm";"bersa";1;1
"40952121-2019";1;"pistola";"9 mm luger (9x19mm)";"cz";1;1
"41606811-2019";1;"revólver";".38";"rossi";1;1
"45270081-2019";1;"pistola";".40 s&w (10 x 22)";"glock";1;1
"46894791-2019";1;"espingarda";"28";"rossi";1;1
"55390111-2019";1;"pistola";".40 s&w (10 x 22)";"taurus";1;2
"75716701-2019";1;"revólver";"32";"não identificada";1;2
"82355941-2019";1;"revólver";".38 spl";"taurus";1;1
"86042621-2019";1;"fuzil";".223 remington (5,56x45 mm)";"anderson manufacturi";1;1
"88277481-2019";1;"revólver";".32 s&w long";"taurus";1;1
"94093521-2019";1;"fuzil";".223 remington (5,56x45 mm)";"colt";1;1
"95906491-2019";1;"revólver";".32 s&w long";"taurus";1;2
"99373641-2019";1;"fuzil";".223 remington (5,56x45 mm)";"colt";1;1
"04897141-2019";1;"revólver";".38 special (9 x 29,5 mm)";"rossi";1;2
"07337231-2019";1;"pistola";".40 s&w (10 x 22)";"glock";1;1
"19690451-2019";1;"pistola";"9 mm";"não identificada";1;1
"19690451-2019";1;"pistola";"9 mm";"bul";1;1
"19690451-2019";1;"revólver";".38";"rossi";1;1
"25937871-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;2
"26762631-2019";1;"fuzil";"5,56 mm";"colt";1;1
"26762631-2019";1;"pistola";"9 mm luger (9x19mm)";"glock";1;1
"32000871-2019";1;"pistola";".380";"cz";1;1
"35990101-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;2
"39337621-2019";1;"revólver";".38 spl + p";"rossi";1;2
"39337621-2019";1;"pistola";".45 auto";"colt";1;1
"49705731-2019";1;"revólver";".22 lr";"rossi";1;2
"54327241-2019";1;"pistola";".380 auto (9x17 mm)";"taurus";1;2
"57385711-2019";1;"pistola";".40 s&w (10 x 22)";"glock";1;1
"57385711-2019";1;"pistola";"9 mm parabellum (9x19mm)";"canik";1;1
"64467901-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;1
"64467901-2019";1;"revólver";".32 long";"ina";1;2
"67046531-2019";1;"espingarda";"12";"maverick";1;1
"70992001-2019";1;"revólver";"32";"taurus";1;2
"77259281-2019";1;"revólver";".38 special (9 x 29,5 mm)";"rossi";1;1
"83947311-2019";1;"pistola";".380";"taurus";1;2
"85603151-2019";1;"pistola";".40";"taurus";1;2
"99070591-2019";1;"pistola";"9 mm luger (9x19mm)";"bersa";1;1
"01413451-2019";1;"revólver";".38";"pucara";1;1
"03952831-2019";1;"revólver";".38";"indeterminado";1;1
"05248541-2019";1;"pistola";"9 mm";"não identificada";1;1
"06004771-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;2
"10798331-2019";1;"revólver";"outros";"rossi";1;2
"14942371-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"17191671-2019";1;"revólver";".38 special (9 x 29,5 mm)";"rossi";1;2
"19505311-2019";1;"revólver";".38 spl";"tac";1;1
"21874571-2019";1;"espingarda";"12";"não identificada";1;1
"21874571-2019";1;"fuzil";".223 remington (5,56x45 mm)";"colt";1;1
"29366261-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;2
"33014101-2019";1;"garrucha";"22";"não identificada";1;1
"34917861-2019";1;"pistola";"9 mm";"bul";1;1
"40202431-2019";1;"pistola";".40 s&w (10 x 22)";"glock";1;1
"47167111-2019";1;"pistola";".40";"taurus";1;2
"52106741-2019";1;"pistola";"9 mm";"bersa";1;1
"54654151-2019";1;"pistola";".380 auto (9x17 mm)";"taurus";1;2
"55771021-2019";1;"revólver";".32";"taurus";1;2
"64563431-2019";1;"revólver";".32 s&w long";"taurus";1;2
"68635281-2019";1;"pistola";"9 mm luger (9x19mm)";"cz";1;1
"81794581-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;1
"81794581-2019";1;"revólver";".38 special (9 x 29,5 mm)";"não identificada";1;2
"84534941-2019";1;"carabina";".22 long";"cbc";1;2
"99795711-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"03274521-2019";1;"carabina";".22 lr";"indeterminado";1;1
"07916011-2019";1;"revólver";".32 s&w long";"taurus";1;2
"08448571-2019";1;"pistola";"9 mm";"taurus";1;1
"08448571-2019";1;"pistola";"9 mm";"taurus";1;1
"08448571-2019";1;"fuzil";"5,56 mm";"indeterminado";1;1
"08448571-2019";1;"fuzil";"5,56 mm";"indeterminado";1;1
"11135561-2019";1;"pistola";".40";"taurus";1;2
"12382441-2019";1;"pistola";"9 mm luger (9x19mm)";"glock";1;1
"12382441-2019";1;"pistola";"9 mm luger (9x19mm)";"canik";1;1
"12382441-2019";1;"pistola";"9 mm luger (9x19mm)";"canik";1;1
"14073171-2019";1;"pistola";"9 mm";"taurus";1;2
"14073171-2019";1;"pistola";".380";"taurus";1;2
"14073171-2019";1;"pistola";".380";"taurus";1;2
"14073171-2019";1;"pistola";".380";"taurus";1;2
"20554131-2019";1;"revólver";".32";"ina";1;2
"21909171-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;1
"21909171-2019";1;"revólver";".32 long";"taurus";1;1
"21909171-2019";1;"revólver";".38 spl";"taurus";1;1
"22121961-2019";1;"pistola";".380 auto (9x17 mm)";"taurus";1;2
"23556751-2019";1;"revólver";".32";"taurus";1;2
"30557001-2019";1;"revólver";".32";"taurus";1;2
"44831911-2019";1;"arma de fabricação caseira";"9 mm luger (9x19mm)";"não identificada";1;1
"52057441-2019";1;"revólver";".38 spl";"taurus";1;2
"64804121-2019";1;"revólver";".38 spl";"taurus";1;2
"73193431-2019";1;"revólver";".32 s&w long";"taurus";1;2
"88636331-2019";1;"revólver";".38";"rossi";1;2
"93084461-2019";1;"pistola";".45 acp (11,43x23 mm)";"taurus";1;2
"95720741-2019";1;"revólver";".38";"taurus";1;1
"00132271-2019";1;"pistola";".40 s&w (10 x 22)";"taurus";1;1
"00466231-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"02022461-2019";1;"revólver";".38";"rossi";1;2
"02253901-2019";1;"revólver";".38";"taurus";1;2
"05919261-2019";1;"pistola";"9 mm parabellum (9x19mm)";"i.m.i.";1;1
"14212271-2019";1;"revólver";".32 s&w long";"rossi";1;1
"17772251-2019";1;"pistola";"9 mm luger (9x19mm)";"ruger";1;1
"19072071-2019";1;"espingarda";"28";"rossi";1;2
"25442311-2019";1;"revólver";".38";"rossi";1;1
"32429021-2019";1;"revólver";"22";"rossi";1;2
"33943261-2019";1;"pistola";".380 auto (9x17 mm)";"glock";1;1
"35403861-2019";1;"espingarda";"28";"não identificada";1;1
"35403861-2019";1;"espingarda";"12";"rossi";1;1
"35403861-2019";1;"revólver";".38";"não identificada";1;1
"35403861-2019";1;"espingarda";"32";"não identificada";1;1
"41263971-2019";1;"pistola";"9 mm";"bersa";1;1
"47340511-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;1
"55635061-2019";1;"pistola";".380";"imbel";1;2
"59081231-2019";1;"pistola";"9 mm parabellum (9x19mm)";"beretta";1;1
"70787911-2019";1;"espingarda";"28";"indeterminado";1;1
"73509851-2019";1;"pistola";"9 mm";"taurus";1;2
"78167481-2019";1;"pistola";"9 mm parabellum (9x19mm)";"sarsilmaz";1;1
"83884661-2019";1;"pistola";"9 mm";"bersa";1;1
"93776511-2019";1;"revólver";".38";"taurus";1;2
"95964561-2019";1;"pistola";"9 mm luger (9x19mm)";"colt";1;1
